isni,name_count,surname,forename
0000000043549870,1,Layard,Nina Frances
0000000043549870,2,Layard,Nina Frances
0000000043549870,3,Layard,Nina Frances
0000000043549870,4,Layard,Nina Frances
0000000043549870,5,Nina Frances Layard,
0000000043549870,6,Layard,Nina Frances
0000000510868791,1,Cowell,Mrs James
0000000066667976,1,Jones,Emily Elizabeth Constance
0000000066667976,2,Emily Elizabeth Constance Jones,
0000000066667976,3,Jones,E. E. Constance
0000000066667976,4,Jones,Emily Elizabeth Constance
0000000066667976,5,Jones,Emily Elizabeth Constance
0000000066667976,6,Jones,Emily Elizabeth Constance
0000000066667976,7,Jones,Emily Elizabeth Constance
0000000066667976,8,Jones,Emily Elisabeth Constance
0000000066667976,9,Jones,E.E.Constance
0000000114399305,1,White,Beatrice M. Irene
0000000114399305,2,White,Beatrice
0000000114399305,3,Beatrice White,
0000000114399305,4,White,Beatrice
0000000114399305,5,White,Beatrice M.I.
0000000114399305,6,White,Beatrice
0000000114399305,7,White,Beatrice
0000000114399305,8,White,Beatrice
0000000114399305,9,White,Beatrice
0000000510848686,1,Fox,Nancy Piercy
0000000510935632,1,Lee,Constance
0000000510934779,1,Briscoe,Grace
0000000082453214,1,Green,Mary Anne Everett
0000000082453214,2,Green,Mary Anne Everett
0000000082453214,3,Green,Mary Anne Everett
0000000082453214,4,Green,Mary Anne Everett
0000000082453214,5,Green,Mary Anne Everett Wood
0000000082453214,6,Green,Mary Anne Everett Wood
0000000082453214,7,Mary Anne Everett Green,
0000000082453214,8,Green,Mary Anne Everett
0000000082453214,9,Green,Mary Anne Everett
0000000082453214,10,Green,Mary Anne Everett
0000000066679483,1,Plunket,Emmeline M.
0000000066679483,2,Plunket,Emmeline Mary
0000000066679483,3,Plunket,Emmeline
0000000066679483,4,Plunket,Emmeline M.
0000000066679483,5,Plunket,Emmeline M.
0000000066679483,6,Plunket,Emmeline Mary
0000000510860562,1,Prior,
0000000510936969,1,Master,Georgina Emily Chester
0000000510921361,1,Longfield,Gertrude
0000000510938008,1,Baldwyn Childe,Frances C.
000000051086335X,1,Lascelles,
0000000510884062,1,Jeffires,
0000000080546396,1,Bagnall-Oakeley,Mary Ellen
0000000080546396,2,Bagnall-Oakeley,Mary Ellen
0000000077114541,1,Treadwin,
0000000077114541,2,Treadwin,Charlotte E.
0000000510860642,1,Warrand,
0000000510936037,1,Trench,Emily Mary Chenevix
0000000081479965,1,Godden,Gertrude Mary
0000000081479965,2,Godden,G. M
0000000081479965,3,Godden,G.M.
0000000081479965,4,Gertrude M. Godden,
0000000081479965,5,Godden,G. M.
0000000081479965,6,Godden,G.M.
0000000081479965,7,Godden,Gertrude M.
0000000081479965,8,Godden,Gertrude M.
0000000081479965,9,Godden,Gertrude M.
0000000081479965,10,Godden,Gertrude M.
000000051084815X,1,Maberly,E.
0000000054757288,1,Hunt,Edith M.
0000000054757288,2,Hunt,Edith M.
0000000510884150,1,Ussher,Mary
0000000510860044,1,Way,Mary Alithea
0000000081031765,1,Bateson,Mary
0000000081031765,2,Bateson,Mary
0000000081031765,3,Bateson,Mary
0000000081031765,4,Bateson,Mary
0000000081031765,5,Bateson,Mary
0000000081031765,6,Bateson,Mary
0000000081031765,7,Bateson,Mary
0000000081031765,8,Bateson,Mary
0000000081031765,9,Bateson,Mary
0000000081031765,10,Bateson,Mary
0000000081031765,11,Mary Bateson,
0000000081031765,12,Bateson,Mary
0000000081031765,13,Bateson,Mary
0000000510845821,1,Way,Emmeline
0000000510883908,1,Down,Gertrude Charlotte Elizabeth
0000000397705754,1,Armitage,Ella Sophia
0000000397705754,2,Armitage,Ella S.
0000000397705754,3,Armitage,Ella Sophia
0000000397705754,4,Ella Sophia Armitage,
0000000397705754,5,Armitage,Ella Sophia
0000000510860087,1,Smith,Mrs Eustace
0000000121174921,1,Lewis,Agnes Smith
0000000121174921,2,Lewis,Agnes Smith
0000000121174921,3,Lewis,Agnes Smith
0000000121174921,4,Lewis,Agnes Smith
0000000121174921,5,Lewis,Agnes Smith
0000000121174921,6,Lewis,Agnes Smith
0000000121174921,7,Lewis,Agnes Smith
0000000121174921,8,Lewis,Agnes Smith
0000000121174921,9,Lewis,Agnes Smith
0000000016242857,1,Ruffer,Veronica
0000000016242857,2,Ruffer,Veronica
0000000510967060,1,Hodges,Elizabeth
0000000510858059,1,Ouvry,Emily Anna
0000000078917573,1,MacGregor,Jessie
0000000078917573,2,Jessie MacGregor,
0000000078917573,3,MacGregor,Jessie
0000000078917573,4,MacGregor,Jessie
0000000078917573,5,MacGregor,Jessie
0000000394056912,1,Lindsay,Lilian
0000000394056912,2,Lindsay,Lilian
0000000510845530,1,Ward,
0000000510845768,1,Heming,
0000000029686123,1,Cameron,Mary Emily
0000000029686123,2,Cameron,Mary Emily
0000000080773062,1,Chadwick,Nora Kershaw
0000000080773062,2,Chadwick,Nora K.
0000000080773062,3,Chadwick,Nora Kershaw
0000000080773062,4,Chadwick,N. K.
0000000080773062,5,Chadwick,Nora K.
0000000080773062,6,Chadwick,Nora K.
0000000080773062,7,Chadwick,Nora K.
0000000080773062,8,Chadwick,Nora K.
0000000080773062,9,Chadwick,Nora K.
0000000080773062,10,Chadwick,Nora Kershaw
0000000080773062,11,Chadwick,Nora Kershaw
0000000080773062,12,Chadwick,Nora Kershaw
0000000080773062,13,Chadwick,Nora Kershaw
0000000080773062,14,Chadwick,Nora Kershaw
0000000080773062,15,Chadwick,Nora Kershaw
0000000080773062,16,Chadwick,Nora Kershaw
0000000080773062,17,Chadwick,Nora Kershaw
